"label","label_description","availability","uri","title","description","last_update","organization","group"
"Morbidités hospitalières","Il s'agit des données sur les hospitalisations en court séjour survenues entre 2018 et 2022.

(Via l'application [Odin](https://odin-dataviz-drees.sante.gouv.fr/digdash_dashboard_dataviz_drees/?defaultPage=Morbidit%C3%A9_Hospitali%C3%A8re_Tableau_1_D%C3%A9partements&user=dataviz_sante&pass=dataviz_sante#7)) ","available","https://www.data.gouv.fr/datasets/morbidite-hospitaliere","Morbidité hospitalière","Il s'agit des données sur les hospitalisations en court séjour survenues entre 2018 et 2022. Ces tableaux ont été réalisés à partir des données hospitalières (PMSI MCO) produites par l’Agence technique de l’information sur l’hospitalisation (ATIH). Ils complètent la série de données annuelles mises à disposition sur le site data.Drees depuis 2010, pouvant être déclinés au niveau national, régional et départemental.   


**Consulter la Dataviz** : [Morbidité Hospitalière](https://odin.sante.gouv.fr/dataviz_drees/?defaultPage=Morbidit%C3%A9_Hospitali%C3%A8re_Tableau_1_D%C3%A9partements&user=dataviz_sante&pass=dataviz_sante#7)

La Dataviz propose 3 tableaux déclinant les données à l’échelle des départements, des régions et de la France :

  * Répartition des séjours dans les établissements de soins de courte durée (MCO) selon le sexe, l’âge des patients et la pathologie traitée
  * Répartition des séjours dans les établissements de soins de courte durée (MCO) selon la durée du séjour et la pathologie traitée et durée moyenne de séjour
  * Taux de recours aux établissements de soins de courte durée (MCO) selon le sexe, l’âge des patients et la pathologie traitée 



Les données de ces tableaux sont disponibles en téléchargement direct aux formats csv, json ou parquet. Chaque tableau est consolidé dans un fichier unique qui regroupe les informations des départements, régions, et de la France.","2024-09-18T12:52:33.516000+00:00","Ministère des Solidarités et de la Santé","Données sur les pathologies"
"Découpage des quartiers prioritaires de la ville","Les quartiers prioritaires de la politique de la ville sont des territoires d'intervention de l’État et des collectivités territoriales dans l’objectif commun de réduire les écarts de développement entre les quartiers défavorisés et leurs unités urbaines.

Ils ont été identifiés selon un critère unique, celui du revenu par habitant. ","available","https://www.data.gouv.fr/datasets/quartiers-prioritaires-de-la-politique-de-la-ville-qpv","Quartiers prioritaires de la politique de la ville (QPV)","La loi de programmation pour la Ville et la cohésion urbaine du 21 février 2014 prévoit, dans son article 5, les modalités de réforme de la géographie prioritaire de la politique de la ville. Ces périmètres viennent se substituer aux zones urbaines sensibles (Zus) et aux quartiers en contrat urbain de cohésion sociale (Cucs) à compter du 1er janvier 2015.

La première génération de quartiers prioritaires en vigueur du 01 janvier 2015 au 31 décembre 2023 a été définie par [le décret n° 2014-1750 du 30 décembre 2014](https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030007934\&categorieLien=id) pour la métropole et par [le décret n° 2014-1751 du 30 décembre 2014](https://www.legifrance.gouv.fr/eli/decret/2014/12/30/2014-1751/jo/texte) pour les départements d'outre-mer, à Saint-Martin et en Polynésie française.

Pour s'adapter à l'évolution des territoires, une actualisation de la géographie prioritaire a été menée dans l'esprit de la loi de programmation pour la ville et la cohésion urbaine de 2014.

SIGVILLE est le site de référence de la géographie prioritaire : [https://sig.ville.gouv.fr](https://sig.ville.gouv.fr/)

ACTUALISATION DES QUARTIERS PRIORITAIRES

FRANCE HEXAGONALE

Une nouvelle génération de quartiers prioritaires entre en vigueur au 01 janvier 2024 pour la France métropolitaine par [le décret n° 2023-1314 du 28 décembre 2023](https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000048707389).

Le [décret procédant à des corrections au sein de la liste des quartiers prioritaires](https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000049964604) a été publié au JO du 14 juillet 2024 . La liste des quartiers reste inchangée, il s’agit uniquement d’ajustements orthographiques sur les noms des quartiers et leur rattachement à leur commune.

OUTRE-MER

Une nouvelle génération de quartiers prioritaires entre en vigueur au 01 janvier 2025 pour les Outre-mer, par [le décret n° 2024-1212 du 27 décembre 2024 modifiant la liste des quartiers prioritaires de la politique de la ville dans les collectivités régies par l'article 73 de la Constitution, à Saint-Martin et en Polynésie française](https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000050853230)

Depuis le 30 décembre 2025, le [décret n° 2025-1435 du 30 décembre 2025 modifiant le décret n° 2024-1212 du 27 décembre 2024 modifiant la liste des quartiers prioritaires de la politique de la ville dans les collectivités régies par l'article 73 de la Constitution, à Saint-Martin et en Polynésie française](https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053230323), a classé l’ensemble du territoire de Mayotte en quartier prioritaire : chacune des 17 communes est considérée comme un quartier prioritaire de la politique de la ville.

IDENTIFICATION DES QUARTIERS PRIORITAIRES

Pour la nouvelle génération de quartiers prioritaires, le travail a été conduit par les préfectures de département, avec une concertation locale, en s'appuyant sur l'ANCT et la mise à disposition de données par l'Insee.

La nouvelle numérotation de QP 2024 suit le format « QNXXXYYZ » où
XX =code département, YY = numéro d’ordre et Z est une lettre.
N = nouveau QP, entrant dans la géographie prioritaire en 2024
M = QP pré existant en 2015 avec contour modifié dans la géographie prioritaire en 2024 (possible fusion ou scission de QP 2015)
I = QP pré existant en 2015 avec contour très similaire à celui de 2015

C = depuis le 30 novembre 2025, une nouvelle numérotation a été instaurée à Mayotte : la lettre C désigne les quartiers prioritaires de ce territoire. Exemple 'QN97663C"" pour le QP de M'Tsangamouji.

Attention : les fichiers csv sont à ouvrir en indiquant comme séparateur le "";"".

Pour plus d’informations sur les territoires concernés par la politique de la ville vous pouvez consulter le [Système d'information géographique de la politique de la ville](https://sig.ville.gouv.fr/).

JOURNAL DES MODIFICATIONS :

6 février 2025 : publication des fichiers avec la nouvelle génération des quartiers prioritaires dans les départements et régions d'Outre-Mer

15 janvier 2026 : modifications géographiques et attributaires pour l'ensemble du département de Mayotte. Chaque commune du territoire devient un quartier prioritaire.
","2026-01-16T14:48:23.114000+00:00","Agence nationale de la cohésion des territoires","Données socles utiles aux analyses"
"Contours IRIS","L'IRIS constitue la brique de base en matière de diffusion de données infra-communales. Il doit respecter des critères géographiques et démographiques et avoir des contours identifiables sans ambigüité et stables dans le temps.

Les communes d'au moins 10 000 habitants et une forte proportion des communes de 5 000 à 10 000 habitants sont découpées en IRIS. Ce découpage constitue une partition de leur territoire. La France compte environ 16 100 IRIS dont 650 dans les DOM.","available","https://www.data.gouv.fr/datasets/contours-iris-r-2","Contours... IRIS®","Coédition INSEE et IGN, Contours... IRIS® est un fond numérisé des îlots Iris définis par l'INSEE pour les besoins des recensements sur l'ensemble des communes de plus de 10 000 habitants et la plupart des communes de 5 000 à 10 000 habitants.

Contours...IRIS® permet de cartographier les contours des Iris et de les intégrer dans un SIG. Ce produit permet de faire le lien entre les données cartographiques et les données statistiques de l’INSEE.","2026-01-05T00:00:00+00:00","Institut national de l'information géographique et forestière","Données socles utiles aux analyses"
"Admin express","Ce jeu de données décrit le découpage administratif du territoire français (commune, arrondissement départemental, département, région...).","available","https://www.data.gouv.fr/datasets/admin-express-admin-express-cog-admin-express-cog-carto-admin-express-cog-carto-pe-admin-express-cog-carto-plus-pe","ADMIN EXPRESS, ADMIN EXPRESS COG, ADMIN EXPRESS COG CARTO, ADMIN EXPRESS COG CARTO PE, ADMIN EXPRESS COG CARTO PLUS PE","Les produits ADMIN EXPRESS, ADMIN EXPRESS COG, ADMIN EXPRESS COG CARTO, ADMIN EXPRESS COG CARTO PE, et ADMIN EXPRESS COG CARTOPLUS PE décrivent l'ensemble des informations administratives présentes dans la base de données interne de l'IGN sur le territoire métropolitain et les départements d'outre-mer à la date d'extraction des données. 

ADMIN EXPRESS COG, ADMIN EXPRESS COG CARTO, ADMIN EXPRESS COG CARTO PE, ADMIN EXPRESS COG CARTOPLUS PE prennent en compte le COG (Code Officiel Géographique) de l’INSEE qui rassemble les codes et libellés des entités administratives y compris d'outre-mer au 1er janvier de l’année en cours.","2026-01-23T00:00:00+00:00","Institut national de l'information géographique et forestière","Données socles utiles aux analyses"
"Indicateurs Cartosanté (Atlasanté)","Les données Cartosanté ont trait à l'offre et la demande de soins de premier recours et d'autres professions de santé.

Ces données ne sont pas brutes, mais sont des **listes d’indicateurs territorialisés**, à différentes échelles. Vous trouverez surtout **des données à la commune**, très peu à l’infra-communal (au quartier ou à [l’IRIS](https://www.insee.fr/fr/metadonnees/definition/c1523)). Certains indicateurs ne sont disponibles qu’à l’échelle des régions ou des départements. La plupart des indicateurs sont calculés à partir des données du [Système National des Données de Santé (SNDS)](https://www.snds.gouv.fr/SNDS/Accueil). Ils sont soumis au secret statistique (par exemple, les indicateurs avec moins de 11 bénéficiaires sont cachés sur Cartosanté).","available","/datasets/67d2eed93872dba3e719d2bd",,,,,"Données sur l'offre et la demande de soins"
"Indicateurs Sirsé (Atlasanté)","Les données Sirsé ont trait à l'état de santé et certains déterminants sociaux de la santé.

Ces données ne sont pas brutes, mais sont des **listes d’indicateurs territorialisés**, à différentes échelles. Vous trouverez surtout **des données à la commune**, très peu à l’infra-communal (au quartier ou à [l’IRIS](https://www.insee.fr/fr/metadonnees/definition/c1523)). Certains indicateurs ne sont disponibles qu’à l’échelle des régions ou des départements. La plupart des indicateurs sont calculés à partir des données du [Système National des Données de Santé (SNDS)](https://www.snds.gouv.fr/SNDS/Accueil). Ils sont soumis au secret statistique.","available","/datasets/67d2ea5f9e83a012dbee09b2",,,,,"Données sur les déterminants sociaux de la santé"
"Annuaire Santé (RPPS)","L’Annuaire Santé rassemble les données d’identification des professionnels intervenant dans le système de Santé et de leurs structures, issues des référentiels nationaux RPPS et FINESS.","url available","https://annuaire.sante.fr/web/site-pro/extractions-publiques",,,,,"Données sur l'offre et la demande de soins"
"Indicateurs Géodes (Santé Publique France)","Les données Géodes ont trait aux indicateurs épidémiologiques produits par Santé Publique France.

Ces données ne sont pas brutes, mais sont des **listes d’indicateurs territorialisés**, à différentes échelles. Vous trouverez surtout **des données à la commune**, très peu à l’infra-communal (au quartier ou à [l’IRIS](https://www.insee.fr/fr/metadonnees/definition/c1523)). Certains indicateurs ne sont disponibles qu’à l’échelle des régions ou des départements. La plupart des indicateurs sont calculés à partir des données du [Système National des Données de Santé (SNDS)](https://www.snds.gouv.fr/SNDS/Accueil). Ils sont soumis au secret statistique.","url available","https://geodes.santepubliquefrance.fr/#c=article&page=P005",,,,,"Données sur les déterminants sociaux de la santé"
"Données sur l'emploi et les CSP","Ces données sont issues des statistiques locales de l'INSEE.","url available","https://statistiques-locales.insee.fr/#c=indicator&i=rp.pt_emplt_cs6&s=2021&t=A01&view=map1",,,,,"Données sur les déterminants sociaux de la santé"
"Indice de défavorisation sociale (FDep) à l'échelle de l'IRIS - Inserm","-","url available","https://catalogue.atlasante.fr/geonetwork/srv/fre/catalog.search#/metadata/8ba3a966-fda5-4147-ba45-f6f9fd899c09",,,,,"Données sur les déterminants sociaux de la santé"
"Causes médicales de décès CépiDC-INSERM","-","url available","https://opendata-cepidc.inserm.fr/",,,,,"Données sur la mortalité"
"Disparités territoriales de mortalité","Ces données sont produites et proposées par l'INSEE.","url available","https://www.insee.fr/fr/statistiques/5039901?sommaire=5040030#figure2_radio2 ",,,,,"Données sur la mortalité"
"Tables de mortalité par catégorie sociale et par diplôme ","Ces données sont produites et proposées par l'INSEE.","url available","https://www.insee.fr/fr/statistiques/1893092?sommaire=1893101",,,,,"Données sur la mortalité"
